,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"beta_station[Tiantan, DEWP]",0.7460233642375543,0.02512157629327375,0.707267420709916,0.7855163972532708,72.30930390518647,173.0269531793998,1.0497577701205885,0.002954312010233532,0.0013030864788255599
"beta_station[Tiantan, WSPM]",-0.04470955504755373,0.0067921768230602255,-0.0554619344113767,-0.033840875768173816,1157.4200681672187,1408.8935144641994,1.0006078663717446,0.00019932685598242803,0.00012347662760384142
"beta_station[Wanliu, TEMP]",-0.7191911163430073,0.030911532535904857,-0.7686220201619424,-0.6687823706194682,52.54885173133168,96.23453986272449,1.0538352885112898,0.0042634505062219335,0.0017264120068303413
"beta_station[Wanliu, PRES]",-0.01636754139546612,0.019585135442353848,-0.048057646312559744,0.014624401319918547,98.39609494761753,205.35146342302062,1.0142504311844753,0.001975055371985023,0.0008264316451808921
"beta_station[Wanliu, DEWP]",0.8384941172483033,0.027674555588126586,0.7947655797120984,0.8815192983252668,72.55622430342987,133.89541507604454,1.0394520216582623,0.0032436731712763905,0.0015311682421693944
"beta_station[Wanliu, WSPM]",-0.04063315392418011,0.008689933485517746,-0.05469933214384158,-0.027401186236788038,1108.8002931639828,1516.7569356243214,1.0023480438056898,0.0002609530991325714,0.00017495157553161194
"beta_station[Wanshouxigong, TEMP]",-0.661707608814663,0.028816709897617074,-0.708940885231019,-0.6155803350481933,48.33891860470728,59.28057410611245,1.051053847286285,0.004153155481380849,0.001923305095563731
"beta_station[Wanshouxigong, PRES]",-0.021972155892626497,0.01902427470534301,-0.052160229520738156,0.007662369370415131,87.06669779399601,176.1071749948203,1.0204791992015791,0.0020374370041673162,0.0008623848628319822
"beta_station[Wanshouxigong, DEWP]",0.7504575690093941,0.025758284208788954,0.7096658215136812,0.791636714070187,75.15148991596749,129.0743198311524,1.0460255687504367,0.002971092295330663,0.0014234687712125506
"beta_station[Wanshouxigong, WSPM]",-0.051483910294602454,0.007438797383935965,-0.06358474264617375,-0.03979885523567087,906.6410560883219,1445.8606262630553,1.0028544583608083,0.0002462375897579083,0.00013405855768892908
beta_global[TEMP],-0.671745155301241,0.028871469862240068,-0.7191444626850432,-0.6278869865121643,46.59173490399745,82.1831274288686,1.054919258430205,0.00413264141614449,0.0014944795130653863
beta_global[PRES],-0.009355269328933024,0.01891798109850436,-0.04008543310575155,0.02057059660030848,83.80536462998954,188.773411792831,1.0157361150291309,0.00206614081604717,0.0008639146071403762
beta_global[DEWP],0.8000411569468642,0.031032825664521063,0.7507505105270301,0.8476516905226166,88.78117273802951,172.23121524305492,1.0354871759363364,0.003225450586284716,0.0016375512503583726
beta_global[WSPM],-0.03154951725256989,0.008902374498267213,-0.045453812948044986,-0.017968929331198195,309.41266565561006,496.88976399483204,1.0082296302865161,0.0005107879197487561,0.0003527497562000393
