,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"beta_station[Dingling, TEMP_z]",-1.150949880922399,0.7791146884666929,-2.1313906925012516,-0.3813405382594862,2.5470863737086513,16.64540028039404,2.231804734040786,0.5441837291488086,0.08502297112416707
"beta_station[Dingling, PRES_z]",-0.1759913933974182,0.5785056844239779,-0.8610811116047589,0.39868776529093264,2.535336591996962,16.644517287517527,2.2334405386532636,0.4059513876632343,0.04595951080384391
"beta_station[Dingling, DEWP_z]",2.017812336230521,1.4844376387474807,0.5379848794975345,3.6978319834387716,2.548079254798844,2.0107238605898123,2.232840865907366,1.0444585606484131,0.0823902826397142
"beta_station[Dingling, WSPM_z]",-1.21039426408488,0.16806774897962531,-1.5139851111321858,-1.067737723180578,2.631242620920639,18.122971987533415,2.2327255334579883,0.10369034199613768,0.06969333908187268
"beta_station[Dingling, RAIN_z]",-0.01987641295085632,0.9893165178724476,-1.3866445962488279,0.9434320180012009,2.5445318954609273,16.82878690865332,2.2334457051326786,0.6832294789932358,0.1884913028827165
"beta_station[Dingling, lag_logpm25_z]",1.6615928367413229,0.0770317791173057,1.6000650925543507,1.8018342001744578,6.63849209907992,2.546849250121931,2.233286271793373,0.03283957217682463,0.032060389868777864
"beta_station[Dingling, sin_doy]",0.484342593574368,1.0395315714895133,-0.5526261823926752,1.6427255843686053,2.544666156335772,2.0107238605898123,2.2335086086445655,0.7317989574161322,0.05148435469390385
"beta_station[Dingling, cos_doy]",1.401227672848647,1.7791899745617203,-0.3708407505375701,3.4503813870853226,2.5469150268273566,2.0107238605898123,2.2344766728762107,1.250970042820142,0.11304022333719731
"beta_station[Dongsi, TEMP_z]",-1.1520008885315067,0.784983995700511,-2.135471554058951,-0.37616702758808285,2.551385178546735,16.317482502702347,2.232984321925743,0.5484733218840253,0.08313508386467676
"beta_station[Dongsi, PRES_z]",-0.10784243135362515,0.6663071412894581,-0.8809657202860742,0.5554181496269951,2.542153442717459,17.349731785516973,2.231733450541393,0.4682896157581455,0.045231581606769954
"beta_station[Dongsi, DEWP_z]",1.7487902234034038,1.7597334494996872,-0.0071737614096223585,3.7066695220347756,2.5449848590578963,2.0107238605898123,2.232396346537088,1.2391132762039159,0.08103668936818806
"beta_station[Dongsi, WSPM_z]",-0.6177522909646544,0.707811753870322,-1.4439945899211544,0.08611226623844027,2.5445667916599364,16.92462235752447,2.2324280718775276,0.49706125798122375,0.05352437092503999
"beta_station[Dongsi, RAIN_z]",0.4167895042792299,1.2401123746521938,-1.0963730902499693,1.6463923231828301,2.537320297075769,15.757442079399825,2.2319184267821965,0.8689341877152233,0.1189268429230816
"beta_station[Dongsi, lag_logpm25_z]",1.657007123775563,0.07442962356400648,1.5948318956886964,1.7948705639442766,6.7513189036268875,2.5486272608904645,2.2319454278358917,0.03243998261882548,0.0285279802361762
"beta_station[Dongsi, sin_doy]",0.6403919047237324,0.9079204164505214,-0.26465843815753365,1.6650298630954183,2.5449822303443246,2.0107238605898123,2.233915222053313,0.6388023567352785,0.051152599408249164
"beta_station[Dongsi, cos_doy]",1.392231922956942,1.7712922687270158,-0.37191272802807324,3.424758612362783,2.5441557657081604,2.0107238605898123,2.234263348105031,1.2454153320861037,0.1122798638647924
"beta_station[Guanyuan, TEMP_z]",-1.0632305532992514,0.9086847628692464,-2.1794393843924507,-0.16313173942244594,2.5466756924625016,17.852985778055444,2.2319903019088247,0.6360943893549602,0.0882791081763645
